"YEAR","INDICATOR_NAME","DATA_VALUE"
1998,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.51
1999,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.18
2000,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.32
2001,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.29
2002,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.77
2003,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.92
2004,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.79
2005,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.76
2006,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.23
2007,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1
2008,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.42
2009,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.8
2010,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.63
2011,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.3
2012,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",0.74
2013,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.3
2014,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.02
2015,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.45
2016,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.31
2017,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.9
2018,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.71
2019,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.52
2020,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.28
2021,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.29
2022,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",2.42
2023,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.62
2024,"AMJ_Chlorophylla_Biomass_SEBS_Satellite",1.97
